usernames,post_captions,like_counts,comments_counts,comments_content,comment_user,types,id,post_lang,comment_lang,lang_comb
koma.kw,FRESH STARTER | #KOMAmood,-1,2,😋,bader_alhusainan,GraphImage,2099261210070668335,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,FRESH STARTER | #KOMAmood,-1,2,اليوم بالدوام عاد كروسان جبن و اغمسه بعسل ابيض قرقيزستاني,faisal_abdulazizel,GraphImage,2099261210070668335,en,ar,enar
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,😋,bader_alhusainan,GraphImage,2095059210630213350,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,💙😍,wahabaalali,GraphImage,2095059210630213350,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,😍😍😍😍😍😍😍,a7med_alm,GraphImage,2095059210630213350,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,💙😍💙😍💙😍,a__sip,GraphImage,2095059210630213350,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,اممممممممم,faisal_abdulazizel,GraphImage,2095059210630213350,en,ar,enar
koma.kw,BEACH 🏖 FEELS | #KOMAsummer,-1,6,😍,findpanda_kw,GraphImage,2095059210630213350,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,LOCATION 📍| #KOMAvibes,-1,3,@khalid57x,rubah.alshammari,GraphImage,2089162452804940757,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,LOCATION 📍| #KOMAvibes,-1,3,وين مكانكم,sandstorm6600,GraphImage,2089162452804940757,en,ar,enar
koma.kw,LOCATION 📍| #KOMAvibes,-1,3,@sandstorm6600 اللنك موجود في البايو - السيف,koma.kw,GraphImage,2089162452804940757,en,ar,enar
koma.kw,FEELING GOOD | #KOMAsummer,-1,3,🔥🔥,aturki9,GraphImage,2087752089681166762,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,FEELING GOOD | #KOMAsummer,-1,3,❤️,bader_alhusainan,GraphImage,2087752089681166762,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,FEELING GOOD | #KOMAsummer,-1,3,🔥🔥🔥,a__sip,GraphImage,2087752089681166762,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,HAWAIIAN MOOD 🌞| #KOMAsummer,-1,1,ماهذا....؟ cold press,faisal_abdulazizel,GraphImage,2085487855467270508,en,ar,enar
koma.kw,TAKE A BREAK | #KOMAmood,-1,4,😍😍😍😍👌,a__sip,GraphImage,2083562957182467352,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,TAKE A BREAK | #KOMAmood,-1,4,👏🏻®️,ministerf,GraphImage,2083562957182467352,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,TAKE A BREAK | #KOMAmood,-1,4,😍😍,aturki9,GraphImage,2083562957182467352,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,TAKE A BREAK | #KOMAmood,-1,4,❤️👏🏼,bader_alhusainan,GraphImage,2083562957182467352,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,Saturday brew vibes | #KOMAmood,-1,2,👌👌,aturki9,GraphImage,2082110831382185797,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,Saturday brew vibes | #KOMAmood,-1,2,❤️,bader_alhusainan,GraphImage,2082110831382185797,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,FRESH NEEDS | #KOMAsummer,-1,2,اميزينق,mohammedzzzz,GraphImage,2075616669250048391,en,ar,enar
koma.kw,FRESH NEEDS | #KOMAsummer,-1,2,يبيله مع الحر🔥,bader_alhusainan,GraphImage,2075616669250048391,en,ar,enar
koma.kw,KEEP FRESH | #KOMAsummer,-1,3,❤️🔥,bader_alhusainan,GraphImage,2072599471585749902,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,KEEP FRESH | #KOMAsummer,-1,3,😍😍,caffeinemood,GraphImage,2072599471585749902,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,KEEP FRESH | #KOMAsummer,-1,3,فرفشني 😍😍😍,t_almutairi,GraphImage,2072599471585749902,en,ar,enar
koma.kw,REDUCE THE TEMPERATURE | #KOMAsummer,-1,2,اي والله 😍,wahabaalali,GraphImage,2070443834554628575,en,ar,enar
koma.kw,REDUCE THE TEMPERATURE | #KOMAsummer,-1,2,😋👏🏼,bader_alhusainan,GraphImage,2070443834554628575,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,"NEW SUMMER DRINK 🍹 
MOJITO | #KOMAsummer",-1,3,يبيله باجر😍👌🏻,aalselim,GraphImage,2066247526658643545,en,ar,enar
koma.kw,"NEW SUMMER DRINK 🍹 
MOJITO | #KOMAsummer",-1,3,Pool 🔥,wahabaalali,GraphImage,2066247526658643545,en,en,enen
koma.kw,"NEW SUMMER DRINK 🍹 
MOJITO | #KOMAsummer",-1,3,💔,bader_alhusainan,GraphImage,2066247526658643545,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,HOLD SUMMER 🌞 AND DRINK ICE AMERICANO | #komamood,-1,2,😋,bader_alhusainan,GraphImage,2061765095625055226,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,HOLD SUMMER 🌞 AND DRINK ICE AMERICANO | #komamood,-1,2,يالله...😶,faisal_abdulazizel,GraphImage,2061765095625055226,en,ar,enar
koma.kw,Missing early vibes ☕️ | #KOMAmood,-1,4,عيدكم مبارك🎉,bader_alhusainan,GraphImage,2058779555283821133,en,ar,enar
koma.kw,Missing early vibes ☕️ | #KOMAmood,-1,4,اخيرا قهوة الصباح 😍,wahabaalali,GraphImage,2058779555283821133,en,ar,enar
koma.kw,Missing early vibes ☕️ | #KOMAmood,-1,4,😍😍,coofetalk,GraphImage,2058779555283821133,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,Missing early vibes ☕️ | #KOMAmood,-1,4,مرحبا تبيعون قهوه حبوب ؟,q8maas,GraphImage,2058779555283821133,en,ar,enar
koma.kw,TIME TO REALITY | #KOMAmood,-1,2,😋,bader_alhusainan,GraphImage,2053256271138018956,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,TIME TO REALITY | #KOMAmood,-1,2,😍,bo.shaibah,GraphImage,2053256271138018956,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,RAMADAN VIBES flat white | #KOMAmood,-1,2,😍❤️,coofetalk,GraphImage,2047412449447324051,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,RAMADAN VIBES flat white | #KOMAmood,-1,2,Can i guys sponsor you 🙏🏼❤️,yaykw_,GraphImage,2047412449447324051,en,en,enen
koma.kw,EXPERIENCE | #KOMAmood,-1,7,👏💛,humbakw,GraphImage,2042272384698063666,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,EXPERIENCE | #KOMAmood,-1,7,أنا عميل لبيت التمويل ابي قهوة,mohammed20201123,GraphImage,2042272384698063666,en,ar,enar
koma.kw,EXPERIENCE | #KOMAmood,-1,7,@mohammed31211 حياكم الله,koma.kw,GraphImage,2042272384698063666,en,ar,enar
koma.kw,EXPERIENCE | #KOMAmood,-1,7,متى ينتهي العرض,omsalooomwgoood,GraphImage,2042272384698063666,en,ar,enar
koma.kw,EXPERIENCE | #KOMAmood,-1,7,@omsalooomwgoood انتهى,koma.kw,GraphImage,2042272384698063666,en,ar,enar
koma.kw,EXPERIENCE | #KOMAmood,-1,7,في كاترينج,noorahao,GraphImage,2042272384698063666,en,ar,enar
koma.kw,EXPERIENCE | #KOMAmood,-1,7,@noorahao قريب ان شاء الله,koma.kw,GraphImage,2042272384698063666,en,ar,enar
koma.kw,SPECIALITY CUPPUTCHINO | #KOMAsigneture,-1,1,👏🏼,bader_alhusainan,GraphImage,2038008904629461949,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,GOLDEN BROWN | #KOMAmood,-1,1,😍😍😍,caffeinemood,GraphImage,2034112423082098390,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,KOMA PB | #KOMAsegnature #peanutbutter,-1,1,دايركت,moonvip369,GraphImage,2032911101679012818,en,ar,enar
koma.kw,QUALITY | #KOMABeans,-1,1,يبيله فلات وايت ®️,ministerf,GraphImage,2030727948319232097,en,ar,enar
koma.kw,CHOCOLATERIE | #KOMAmood,-1,1,🤦🏻‍♀️♥️,theowner.sal,GraphImage,2029650095951430733,en,Emjoi or No Caption,enEmjoi or No Caption
